,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
1,real_estate_agent,Электроугли,7,14,1,41.0,5350000,2014,18.0,9.0,Электроугли, Школьная,Железнодорожная,130487.8
3,real_estate_agent,Электроугли,5,5,1,33.3,3500000,1980,18.0,8.0,Электроугли, Пионерская,Железнодорожная,105105.11
4,real_estate_agent,Электроугли,1,3,2,45.8,4850000,2014,26.7,7.0,Электроугли,переулок 2-й Троицкий,Железнодорожная,105895.2
5,realtor,Электроугли,3,5,1,32.0,3500000,1971,20.0,6.0,Электроугли, Маяковского,Железнодорожная,109375.0
6,real_estate_agent,Электроугли,2,5,1,31.9,3900000,2014,18.0,6.0,Электроугли, Школьная,Железнодорожная,122257.05
7,real_estate_agent,Электроугли,3,9,1,35.4,4600000,2014,22.0,7.0,Электроугли, Советская,Железнодорожная,129943.5
8,real_estate_agent,Электроугли,4,5,3,62.9,3800000,1977,38.18777147900826,8.5,Электроугли, Маяковского,Железнодорожная,60413.35
9,real_estate_agent,Электроугли,5,5,2,42.0,5200000,2014,29.0,6.0,Электроугли, Школьная,Железнодорожная,123809.52
10,real_estate_agent,Электроугли,10,12,1,43.7,5300000,1987,21.0,9.0,Электроугли, Школьная,Железнодорожная,121281.46
12,real_estate_agent,Электроугли,3,5,2,46.1,5650000,2014,29.0,6.0,Электроугли, Школьная,Железнодорожная,122559.65
13,real_estate_agent,Электроугли,3,5,2,43.4,5400000,2014,30.0,6.0,Электроугли, Школьная,Железнодорожная,124423.96
15,real_estate_agent,Электроугли,7,12,2,50.0,5900000,1990,30.0,12.0,Электроугли, Школьная,Новокосино,118000.0
16,real_estate_agent,Электроугли,3,5,2,46.4,4650000,2014,29.7,6.1,Электроугли, Школьная,Железнодорожная,100215.52
19,real_estate_agent,Электроугли,3,5,3,56.7,6120000,2014,38.0,6.0,Электроугли, Советская,Железнодорожная,107936.51
21,realtor,Электроугли,4,4,2,44.0,4300000,2014,28.0,6.0,Электроугли,переулок Горки,Железнодорожная,97727.27
22,real_estate_agent,Электроугли,2,5,2,44.7,6350000,2014,29.0,6.0,Электроугли, Троицкая,Железнодорожная,142058.17
23,homeowner,Электроугли,3,5,2,46.6,4300000,1971,38.6,6.0,Электроугли, Маяковского,Железнодорожная,92274.68
24,realtor,Старая Купавна,7,18,1,30.7,5000000,2020,20.0,7.0,Старая Купавна, Октябрьская,Железнодорожная,162866.45
27,real_estate_agent,Старая Купавна,3,5,1,30.5,4600000,1965,18.0,7.0,Старая Купавна, Матросова,Железнодорожная,150819.67
28,realtor,Старая Купавна,15,17,1,30.7,4590000,2020,15.344361397556128,9.7,Старая Купавна, Октябрьская,Железнодорожная,149511.4
31,real_estate_agent,Старая Купавна,6,17,1,29.7,4900000,2022,18.7,6.0,Старая Купавна, Октябрьская,Железнодорожная,164983.16
37,real_estate_agent,Старая Купавна,3,4,2,46.0,5200000,2014,20.0,6.0,Старая Купавна, Ленина,Железнодорожная,113043.48
41,homeowner,Старая Купавна,3,3,2,46.0,4500000,1963,30.1727112697113,6.6,Старая Купавна, Чапаева,Железнодорожная,97826.09
42,realtor,Старая Купавна,3,5,2,41.0,4750000,2014,26.0,5.6,Старая Купавна, Матросова,Старая Купавна,115853.66
43,real_estate_agent,Старая Купавна,10,17,1,35.6,4400000,2020,17.9,8.7,Старая Купавна, Трудовая,Железнодорожная,123595.51
44,homeowner,Старая Купавна,3,5,1,30.5,4500000,1965,18.1,7.0,Старая Купавна, Матросова,Железнодорожная,147540.98
45,realtor,Старая Купавна,3,4,2,73.0,5550000,2014,40.79444804789904,11.0,Старая Купавна, Кирова,Железнодорожная,76027.4
47,homeowner,Старая Купавна,3,5,1,30.9,3980000,1972,16.6,6.9,Старая Купавна, Чкалова,Железнодорожная,128802.59
48,realtor,Старая Купавна,5,5,2,46.4,5000000,2014,30.0,6.0,Старая Купавна, Матросова,Железнодорожная,107758.62
49,real_estate_agent,Старая Купавна,3,3,1,35.1,5000000,2014,18.0,9.0,Старая Купавна,шоссе Фабричное,Железнодорожная,142450.14
50,unknown,Старая Купавна,3,5,2,43.0,4300000,1973,30.0,6.0,Старая Купавна, Трудовая,Железнодорожная,100000.0
51,realtor,Старая Купавна,6,18,1,42.0,4800000,2022,21.891811019605257,8.0,Старая Купавна, Трудовая,Железнодорожная,114285.71
52,realtor,Старая Купавна,5,5,1,30.6,3800000,1968,19.0,6.0,Старая Купавна, Большая Московская,Железнодорожная,124183.01
55,real_estate_agent,Старая Купавна,11,18,2,48.6,4500000,2014,30.0,8.0,Старая Купавна, Октябрьская,Железнодорожная,92592.59
56,realtor,Старая Купавна,1,2,3,56.0,4300000,1938,38.0,8.5,Старая Купавна, Чернышевского,Железнодорожная,76785.71
57,realtor,Старая Купавна,10,17,1,31.0,4900000,2022,17.0,11.0,Старая Купавна, Октябрьская,Железнодорожная,158064.52
58,realtor,Старая Купавна,11,18,1,34.0,4550000,2022,17.0,6.0,Старая Купавна, Трудовая,Железнодорожная,133823.53
59,homeowner,Старая Купавна,2,5,1,29.0,4200000,1988,18.163345059466025,10.0,Старая Купавна,проезд Больничный,Железнодорожная,144827.59
61,realtor,Старая Купавна,2,18,2,48.0,4500000,2020,32.0,6.0,Старая Купавна, Октябрьская,Железнодорожная,93750.0
62,homeowner,Старая Купавна,3,5,1,31.0,4050000,1969,20.95652380025703,7.0,Старая Купавна, Октябрьская,Железнодорожная,130645.16
63,realtor,Старая Купавна,7,17,1,29.9,4600000,2021,16.0,6.0,Старая Купавна, Октябрьская,Железнодорожная,153846.15
64,realtor,Старая Купавна,10,17,1,28.0,4200000,2014,14.398254510672643,9.2,Старая Купавна, Чехова,Железнодорожная,150000.0
66,real_estate_agent,Старая Купавна,1,17,1,39.3,5500000,2018,20.747953742426063,13.0,Старая Купавна, Чехова,Железнодорожная,139949.11
67,realtor,Старая Купавна,10,17,1,34.0,4200000,2022,15.0,9.0,Старая Купавна, Трудовая,Железнодорожная,123529.41
68,realtor,Старая Купавна,7,18,2,48.6,4500000,2014,26.284624617916933,6.0,Старая Купавна, Октябрьская,Железнодорожная,92592.59
70,official_representative,Старая Купавна,17,17,2,51.3,4800000,2021,27.066935278704108,9.0,Старая Купавна, Октябрьская,Железнодорожная,93567.25
71,homeowner,Старая Купавна,2,18,1,34.0,4150000,2022,15.0,8.0,Старая Купавна, Трудовая,Железнодорожная,122058.82
74,realtor,Старая Купавна,10,17,1,34.4,5400000,2017,14.1,10.8,Старая Купавна, Кирова,Железнодорожная,156976.74
76,realtor,Старая Купавна,10,18,1,33.0,4550000,2022,17.0,6.0,Старая Купавна, Трудовая,Железнодорожная,137878.79
77,real_estate_agent,Старая Купавна,3,3,1,32.0,4100000,2014,17.965228018391514,6.0,Старая Купавна, Чапаева,Железнодорожная,128125.0
89,unknown,Старая Купавна,1,3,2,44.8,3900000,1957,28.0,6.0,Старая Купавна, Ленина,Железнодорожная,87053.57
90,unknown,Старая Купавна,4,17,2,46.3,3998000,2022,26.5,13.0,Старая Купавна, Октябрьская,Железнодорожная,86349.89
91,real_estate_agent,Старая Купавна,5,17,1,33.25,4000000,2022,14.5,9.5,Старая Купавна, Трудовая,Железнодорожная,120300.75
92,realtor,Старая Купавна,1,18,2,43.0,4100000,2021,22.715471738758026,9.0,Старая Купавна, Октябрьская,Железнодорожная,95348.84
93,real_estate_agent,Старая Купавна,5,5,1,31.0,4200000,1964,17.5,6.0,Старая Купавна, Ленина,Железнодорожная,135483.87
95,real_estate_agent,Старая Купавна,16,17,2,50.0,4699000,2021,30.0,15.0,Старая Купавна, Октябрьская,Железнодорожная,93980.0
96,real_estate_agent,Старая Купавна,1,4,2,44.0,4300000,2014,24.82246672648631,5.3,Старая Купавна, Фрунзе,Железнодорожная,97727.27
99,real_estate_agent,Старая Купавна,16,17,1,30.0,4850000,2017,19.0,6.0,Старая Купавна, Октябрьская,Железнодорожная,161666.67
100,homeowner,Старая Купавна,2,3,1,40.1,4700000,2014,19.7,10.8,Старая Купавна,шоссе Фабричное,Железнодорожная,117206.98
101,unknown,Старая Купавна,5,18,1,36.6,4800000,2017,20.0,12.0,Старая Купавна, Кирова,Железнодорожная,131147.54
104,realtor,Старая Купавна,2,17,2,53.7,5300000,2022,28.614694542137244,10.0,Старая Купавна, Октябрьская,Железнодорожная,98696.46
105,realtor,Старая Купавна,2,5,3,51.7,5500000,1969,32.708722553758065,6.0,Старая Купавна, Шевченко,Железнодорожная,106382.98
107,realtor,Старая Купавна,2,19,1,43.6,5400000,2014,18.8,9.3,Старая Купавна, Чехова,Железнодорожная,123853.21
110,real_estate_agent,Старая Купавна,9,18,2,48.0,4550000,2020,33.0,6.0,Старая Купавна, Октябрьская,Железнодорожная,94791.67
112,real_estate_agent,Старая Купавна,14,17,1,42.1,4700000,2021,24.0,8.6,Старая Купавна, Трудовая,Железнодорожная,111638.95
116,realtor,Старая Купавна,5,17,2,43.0,4500000,2014,23.243212158336206,10.0,Старая Купавна, Октябрьская,Железнодорожная,104651.16
118,real_estate_agent,Озёры,4,4,3,76.6,3300000,1930,55.0,12.0,Озеры, Ленина,Озёры,43080.94
122,realtor,Озёры,2,4,2,48.0,2600000,2014,32.0,6.0,Озеры, Свердлова,Озёры,54166.67
123,realtor,Озёры,2,9,2,50.4,4100000,2014,29.2,7.7,Озеры, Ленина,Озёры,81349.21
