,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
0,real_estate_agent,Москва,3,15,3,95.0,35000000,2000,65.0,20.0,Пресненский,Зоологическая ,Баррикадная,368421.05
1,developer,Москва,6,13,1,35.3,14608904,2027,21.1,9.1,Очаково-Матвеевское,Очаково мкр,Аминьевская,413849.97
2,real_estate_agent,Москва,2,23,2,74.6,36000000,2024,28.4,17.7,Хорошево-Мневники,проезд Проектируемый № 1074,Терехово ,482573.73
3,realtor,Москва,13,18,5,113.0,57000000,2017,51.0,23.0,Нагатинский затон, Корабельная,Кленовый бульвар,504424.78
4,realtor,Москва,4,22,1,84.4,20900000,2014,47.07153313254352,14.0,Лосиноостровский, Коминтерна,Бабушкинская,247630.33
5,real_estate_agent,Москва,11,13,3,141.3,98000000,2016,92.00195882045115,20.8,Пресненский,Большая Садовая ,Маяковская,693559.8
6,real_estate_agent,Москва,3,6,3,80.0,39500000,2014,63.0,12.0,Дорогомилово,Студенческая ,Студенческая,493750.0
7,real_estate_agent,Москва,3,41,2,66.0,29300000,2024,25.0,15.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,443939.39
8,real_estate_agent,Москва,5,5,4,100.2,10300000,2011,56.19372322187053,14.0,Кострома,Костромская ,Москва,102794.41
9,real_estate_agent,Москва,15,21,1,95.3,39200000,2004,70.9,19.1,Раменки,Минская ,Ломоносовский проспект,411332.63
10,developer,Москва,10,11,4,113.0,33508926,2022,68.1,12.8,Покровское-Стрешнево,Летная ,Спартак,296539.17
11,real_estate_agent,Москва,4,9,1,30.0,9500000,2014,18.0,6.0,Лефортово,Шепелюгинская ,Авиамоторная,316666.67
12,real_estate_agent,Москва,18,22,4,100.1,23500000,1989,58.08301279666611,10.1,Восточное Измайлово,15-я Парковая ,Первомайская,234765.23
13,real_estate_agent,Москва,2,6,4,162.1,96500000,2005,105.74435672231495,20.0,Покровское-Стрешнево,Береговая ,Стрешнево,595311.54
14,real_estate_agent,Москва,20,25,2,56.3,15990000,2001,32.8,10.0,Выхино-Жулебино,Волгоградский проспект,Юго-Восточная,284014.21
15,developer,Москва,5,21,1,65.9,82172522,2023,18.8,24.9,Пресненский, Костикова,Улица 1905 года,1246927.5
16,real_estate_agent,Москва,2,20,5,157.0,57500000,2014,120.0,20.0,Кунцево, Маршала Тимошенко,Крылатское,366242.04
17,realtor,Москва,5,39,1,37.5,22000000,2022,15.0,10.0,Раменки, Лобачевского,Аминьевская,586666.67
18,real_estate_agent,Москва,15,16,3,72.8,20600000,2014,43.9,10.2,Орехово-Борисово Южное,Каширское шоссе,Домодедовская,282967.03
19,real_estate_agent,Москва,9,12,3,61.0,14890000,1973,42.3,6.0,Выхино-Жулебино,Ферганская ,Юго-Восточная,244098.36
20,real_estate_agent,Москва,21,46,5,115.0,59900000,2022,70.0,20.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,520869.57
21,real_estate_agent,Москва,16,20,2,62.0,15800000,2014,32.0,12.0,Москва, Анны Ахматовой,Рассказовка,254838.71
22,real_estate_agent,Москва,6,16,1,50.7,19500000,2004,23.4,11.6,Обручевский, Островитянова,Университет Дружбы Народов,384615.38
23,real_estate_agent,Москва,3,18,2,51.0,24000000,2014,30.0,16.0,Аэропорт,Ленинградский проспект,Аэропорт,470588.24
24,real_estate_agent,Москва,10,32,2,64.4,51000000,2023,34.57977648844454,15.4,Дорогомилово,Поклонная ,Поклонная,791925.47
25,real_estate_agent,Москва,15,17,1,40.6,9400000,2014,20.0,10.0,Москва, Фитаревская,Новомосковская,231527.09
26,homeowner,Москва,3,9,1,32.6,9999999,1979,18.7,6.7,Котловка,Севастопольский проспект,Крымская,306748.44
27,developer,Москва,16,16,4,134.9,37412863,2023,65.5,8.8,Москва,проспект Куприна,Бунинская аллея,277337.75
28,homeowner,Москва,12,14,1,39.0,12150000,1987,20.8,8.6,Зябликово,Кустанайская ,Красногвардейская,311538.46
29,realtor,Москва,8,10,1,37.5,10150000,1994,19.1,9.0,Южное Бутово,Скобелевская ,Улица Скобелевская,270666.67
30,realtor,Москва,21,24,1,40.0,15500000,2005,20.075040811396832,10.4,Черемушки,Херсонская ,Зюзино,387500.0
